fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	ganancia	iteracion
20220928 220637	binary	custom	TRUE	TRUE	FALSE	-100	4	TRUE	388699	0.10406042516997	0.841631922386587	3125	279	14591	11	928	45.2645649353508	25.5898507998791	34	15700000	11
20220928 220646	binary	custom	TRUE	TRUE	FALSE	-100	3	TRUE	388699	0.27432881613489	0.562961786594242	2893	531	10307	2	666	14.3777682638029	5.76496916008182	94	16110000	12
20220928 220654	binary	custom	TRUE	TRUE	FALSE	-100	10	TRUE	388699	0.111876499150472	0.773400372001342	270	241	8740	17	431	31.0477077498217	30.1540852693142	51	18920000	13
20220928 220701	binary	custom	TRUE	TRUE	FALSE	-100	4	TRUE	388699	0.284917432478484	0.611579393795691	5889	835	13708	7	159	38.2046441992861	6.47550612717168	90	15230000	14
20220928 225701	binary	custom	TRUE	TRUE	FALSE	-100	14	TRUE	388699	0.0832800124207861	0.730962860579602	3400	551	10879	9	355	29.586812472844	27.5090827757958	63	19530000	15
20220928 225708	binary	custom	TRUE	TRUE	FALSE	-100	4	TRUE	388699	0.203584398508508	0.806856267033145	4652	717	11272	12	579	33.6586185486522	13.8852809290984	68	16340000	16
20220928 225717	binary	custom	TRUE	TRUE	FALSE	-100	20	TRUE	388699	0.120822864623391	0.693862418797798	5088	684	9185	11	71	32.0661661538179	20.4320023898617	48	21550000	17
20220928 225727	binary	custom	TRUE	TRUE	FALSE	-100	8	TRUE	388699	0.184491101641383	0.441122647388838	7384	247	6753	8	547	19.6262111666147	16.7181305366103	73	17060000	18
20220928 225738	binary	custom	TRUE	TRUE	FALSE	-100	16	TRUE	388699	0.0644655535965867	0.704899523933418	4182	476	12734	16	478	21.1065106812748	44.3193807784701	25	18540000	19
20220928 225744	binary	custom	TRUE	TRUE	FALSE	-100	3	TRUE	388699	0.266910674819228	0.67397938192822	5582	295	8126	6	620	25.1778932838351	39.8717177778599	39	17110000	20
20220928 225752	binary	custom	TRUE	TRUE	FALSE	-100	5	TRUE	388699	0.0979126125112234	0.75540169490967	1321	328	7617	5	819	47.4772235925775	34.9994312445051	65	17890000	21
20220928 225811	binary	custom	TRUE	TRUE	FALSE	-100	16	TRUE	388699	0.0573322891984135	0.542151720141992	5768	506	13229	3	421	9.19437619420933	18.5034244362032	70	18910000	22
20220928 225819	binary	custom	TRUE	TRUE	FALSE	-100	6	TRUE	388699	0.135909384144732	0.656910121850669	2045	808	10112	8	716	8.62802560121054	26.8072469750768	83	18580000	23
20220928 225839	binary	custom	TRUE	TRUE	FALSE	-100	4	TRUE	388699	0.220630525536137	0.945825159195811	5371	191	11090	10	676	26.8489759322256	16.2468872172758	29	16700000	24
20220928 225847	binary	custom	TRUE	TRUE	FALSE	-100	3	TRUE	388699	0.10406042516997	0.841631922386587	3125	279	14591	11	928	45.2645649353508	25.5898507998791	36	16500000	25
20220928 225856	binary	custom	TRUE	TRUE	FALSE	-100	3	TRUE	388699	0.27432881613489	0.562961786594242	2893	531	10307	2	666	14.3777682638029	5.76496916008182	94	16110000	26
20220928 225904	binary	custom	TRUE	TRUE	FALSE	-100	10	TRUE	388699	0.111876499150472	0.773400372001342	270	241	8740	17	431	31.0477077498217	30.1540852693142	52	1.9e+07	27
20220928 225912	binary	custom	TRUE	TRUE	FALSE	-100	4	TRUE	388699	0.284917432478484	0.611579393795691	5889	835	13708	7	159	38.2046441992861	6.47550612717168	91	15070000	28
20220928 230049	binary	custom	TRUE	TRUE	FALSE	-100	86	TRUE	388699	0.00574726106866729	0.239334934027866	53	383	9834	19	904	22.5396941820509	24.5246441851486	3	16260000	29
20220928 230105	binary	custom	TRUE	TRUE	FALSE	-100	13	TRUE	388699	0.0425083587558765	0.596848939922638	2501	614	8477	-1	284	39.6931677579414	36.057689548179	75	19290000	30
20220928 230112	binary	custom	TRUE	TRUE	FALSE	-100	5	TRUE	388699	0.163412822876417	0.839017828917131	7499	736	12776	13	745	21.7557199075236	43.3267879404593	19	17810000	31
20220928 230123	binary	custom	TRUE	TRUE	FALSE	-100	6	TRUE	388699	0.151488250520575	0.395674048140645	3604	880	11744	14	794	36.9560053857276	40.0343256950146	87	18280000	32
20220928 230133	binary	custom	TRUE	TRUE	FALSE	-100	4	TRUE	388699	0.208918527358473	0.464297024635598	2226	369	6284	15	843	17.886486419884	19.371714577137	15	17440000	33
20220928 230140	binary	custom	TRUE	TRUE	FALSE	-100	11	TRUE	388699	0.257573794921627	0.931362424087711	2691	761	12009	1	114	17.3916208260925	32.6165665435838	58	18870000	34
20220928 230151	binary	custom	TRUE	TRUE	FALSE	-100	8	TRUE	388699	0.126726038164488	0.219350609974936	6708	209	9361	2	324	1.08510605263291	11.3107419671724	32	17600000	35
20220928 230159	binary	custom	TRUE	TRUE	FALSE	-100	8	TRUE	388699	0.144685844892345	0.979383218884468	3984	436	11948	7	256	49.799104865815	1.14209974737605	21	18270000	36
20220928 230210	binary	custom	TRUE	TRUE	FALSE	-100	8	TRUE	388699	0.227883899451524	0.304019518550485	7974	776	6509	4	400	34.9474675091915	4.06877671426628	36	16670000	37
20220928 230309	binary	custom	TRUE	TRUE	FALSE	-100	186	TRUE	388699	0.0165811686823436	0.426514882864431	7176	417	5855	16	45	12.6965455221944	22.5851248740219	43	21490000	38
20220928 230324	binary	custom	TRUE	TRUE	FALSE	-100	31	TRUE	388699	0.179164546404005	0.3701664484106	1453	29	8820	13	14	27.6710515795276	47.0723528703093	98	23800000	39
